epoch,loss_total,loss_style_swd,loss_mse,learning_rate,epoch_time
16,16.234784,0.091376,0.162912,9.98e-05,0.00
17,11.937291,0.066906,0.175542,9.98e-05,0.00
18,11.798407,0.066348,0.184159,9.98e-05,0.00
19,11.448699,0.064243,0.192573,9.98e-05,0.00
20,11.061637,0.061859,0.191281,9.97e-05,0.00
21,11.778973,0.065917,0.193709,9.97e-05,0.00
22,11.180196,0.062793,0.195326,9.97e-05,0.00
23,11.540001,0.064415,0.202812,9.96e-05,0.00
24,11.748087,0.065747,0.200885,9.96e-05,0.00
25,11.704083,0.065426,0.213995,9.96e-05,0.00
26,11.131600,0.062154,0.201223,9.95e-05,0.00
27,11.831577,0.066137,0.205119,9.95e-05,0.00
28,11.623102,0.065003,0.214078,9.95e-05,0.00
29,10.771099,0.060027,0.208706,9.94e-05,0.00
30,11.430175,0.063984,0.207592,9.94e-05,0.00
31,11.288221,0.062909,0.210484,9.93e-05,0.00
32,11.232825,0.062647,0.208183,9.93e-05,0.00
33,11.792726,0.066085,0.207756,9.93e-05,0.00
34,10.880753,0.060634,0.209245,9.92e-05,0.00
35,11.308915,0.063352,0.219675,9.92e-05,0.00
36,11.763668,0.065728,0.211234,9.91e-05,0.00
37,11.326195,0.063335,0.221070,9.91e-05,0.00
38,11.305977,0.062913,0.226719,9.90e-05,0.00
39,10.941750,0.060932,0.235654,9.90e-05,0.00
40,11.271092,0.062730,0.234752,9.89e-05,0.00
41,11.322020,0.063221,0.234381,9.89e-05,0.00
42,11.138009,0.061624,0.231467,9.88e-05,0.00
43,11.310874,0.062810,0.244606,9.88e-05,0.00
44,10.929938,0.060991,0.242989,9.87e-05,0.00
45,11.238828,0.062499,0.248457,9.86e-05,0.00
46,11.025171,0.061216,0.244452,9.86e-05,0.00
47,11.468748,0.064058,0.253991,9.85e-05,0.00
48,11.103153,0.061931,0.249774,9.84e-05,0.00
49,10.793196,0.059879,0.255259,9.84e-05,0.00
50,10.614213,0.058741,0.251372,9.83e-05,0.00
51,10.943437,0.060676,0.252841,9.82e-05,0.00
52,10.438257,0.057910,0.258362,9.82e-05,0.00
53,10.894254,0.060400,0.250435,9.81e-05,0.00
54,10.609110,0.058590,0.261405,9.80e-05,0.00
55,11.231633,0.062296,0.268618,9.80e-05,0.00
56,9.804039,0.054113,0.261759,9.79e-05,0.00
57,10.890483,0.060280,0.264705,9.78e-05,0.00
58,10.512678,0.057975,0.265183,9.77e-05,0.00
59,10.359928,0.057469,0.260088,9.77e-05,0.00
60,10.429283,0.057581,0.266552,9.76e-05,0.00
61,9.971429,0.055042,0.272381,9.75e-05,0.00
