epoch,loss_total,loss_style_swd,loss_style_swd_weighted,loss_mse,loss_mse_weighted,learning_rate,epoch_time
1,13.477453,0.104714,13.065972,0.169446,0.169446,1.00e-04,0.00
2,11.382465,0.087059,10.888375,0.179623,0.179623,1.00e-04,0.00
3,11.330927,0.086748,10.823968,0.184717,0.184717,1.00e-04,0.00
4,11.379781,0.086872,10.847058,0.190683,0.190683,1.00e-04,0.00
5,11.579046,0.088246,11.023185,0.196413,0.196413,1.00e-04,0.00
6,10.738407,0.081599,10.207322,0.198788,0.198788,1.00e-04,0.00
7,11.370740,0.086500,10.820628,0.204124,0.204124,1.00e-04,0.00
8,11.062814,0.083922,10.507507,0.208649,0.208649,1.00e-04,0.00
9,10.979254,0.083312,10.417910,0.213276,0.213276,9.99e-05,0.00
10,11.078608,0.083646,10.494236,0.218770,0.218770,9.99e-05,0.00
11,11.127510,0.084291,10.527403,0.224246,0.224246,9.99e-05,0.00
12,10.843444,0.082109,10.244990,0.228089,0.228089,9.99e-05,0.00
13,10.943301,0.082837,10.351271,0.231801,0.231801,9.99e-05,0.00
14,11.321857,0.085766,10.718048,0.237065,0.237065,9.99e-05,0.00
15,11.193129,0.084767,10.592362,0.240780,0.240780,9.98e-05,0.00
16,11.076110,0.083770,10.453413,0.246572,0.246572,9.98e-05,0.00
17,10.536291,0.079136,9.902302,0.251529,0.251529,9.98e-05,0.00
18,10.696041,0.080449,10.045243,0.257221,0.257221,9.98e-05,0.00
19,10.880384,0.081717,10.225728,0.261794,0.261794,9.98e-05,0.00
20,11.133736,0.083547,10.459642,0.267386,0.267386,9.97e-05,0.00
21,10.453761,0.078186,9.771886,0.268060,0.268060,9.97e-05,0.00
22,10.414719,0.077933,9.717683,0.269717,0.269717,9.97e-05,0.00
23,10.286620,0.076347,9.549131,0.273320,0.273320,9.96e-05,0.00
24,10.697655,0.079571,9.937433,0.275986,0.275986,9.96e-05,0.00
25,9.997424,0.073546,9.174961,0.281979,0.281979,9.96e-05,0.00
26,10.546849,0.077467,9.694138,0.284519,0.284519,9.95e-05,0.00
27,9.650744,0.070258,8.780879,0.286755,0.286755,9.95e-05,0.00
28,9.785589,0.071082,8.893080,0.289745,0.289745,9.95e-05,0.00
29,8.965445,0.064047,8.007736,0.297589,0.297589,9.94e-05,0.00
30,9.144751,0.065213,8.144335,0.302579,0.302579,9.94e-05,0.00
31,8.720406,0.061380,7.685989,0.306351,0.306351,9.93e-05,0.00
32,8.759173,0.062163,7.753159,0.303860,0.303860,9.93e-05,0.00
33,8.410099,0.059310,7.411108,0.303322,0.303322,9.93e-05,0.00
34,8.119796,0.057461,7.171296,0.298826,0.298826,9.92e-05,0.00
35,8.993180,0.064260,8.034613,0.299961,0.299961,9.92e-05,0.00
36,8.013546,0.056529,7.069790,0.298437,0.298437,9.91e-05,0.00
37,7.886485,0.055540,6.969949,0.295831,0.295831,9.91e-05,0.00
38,7.844925,0.055829,6.977588,0.291153,0.291153,9.90e-05,0.00
39,7.841160,0.055896,6.976595,0.290677,0.290677,9.90e-05,0.00
40,8.253152,0.059307,7.405897,0.288924,0.288924,9.89e-05,0.00
41,8.188685,0.058804,7.347972,0.288117,0.288117,9.89e-05,0.00
42,8.376109,0.060413,7.551245,0.286318,0.286318,9.88e-05,0.00
43,7.591559,0.054262,6.763194,0.286262,0.286262,9.88e-05,0.00
44,7.746824,0.055815,6.972247,0.280888,0.280888,9.87e-05,0.00
45,7.682072,0.055811,6.957959,0.276385,0.276385,9.86e-05,0.00
46,7.571417,0.054849,6.850190,0.275174,0.275174,9.86e-05,0.00
47,7.385685,0.053403,6.663387,0.275400,0.275400,9.85e-05,0.00
48,7.676021,0.056083,6.996994,0.270018,0.270018,9.84e-05,0.00
49,8.030572,0.058487,7.317906,0.273413,0.273413,9.84e-05,0.00
50,7.554373,0.055144,6.886701,0.268643,0.268643,9.83e-05,0.00
51,7.695768,0.056722,7.069974,0.264785,0.264785,9.82e-05,0.00
52,7.809436,0.057391,7.196192,0.262976,0.262976,9.82e-05,0.00
53,7.544241,0.055734,6.959500,0.260258,0.260258,9.81e-05,0.00
